ID	English	French	PrettyFrench	Type	Etymology	Definition
897	monocaulous	unicaule	unicaule	adj.	lat. unus, un, lat. caulis, tige	
898	monochasium	monochasium	monochasium	n.m.		cyme unipare
899	monocolpate					
900	monoecious	monoïque	monoique	adj.	gr. monos, un seul, oïkos, habitat	bisexué
901	monogeneric	monogénérique	monogenerique	adj.		
902	monophyletic	monophylétique	monophyletique	adj.	gr. monos, un seul, phylum, lignée	ancêtres communs
903	monopodial	monopodial, monopode	monopodial, monopode	n.m.	gr. monos, un seul, podos, pied	mode de croissance d'une tige  .. Bourgeon terminal
904	monotypic	monotypique	monotypique	adj.		
905	mor humus	mor	mor	n.m.		
906	mosaic, leaf	mosaïque foliaire	mosaique foliaire	n.f.		
907	mottling	moucheté	mouchete	adj.		
908	mouth	ouverture	ouverture	n.f.		
909	mouth of receptacle	ouverture du réceptacle	ouverture du receptacle	n.f.		
910	mucilage	mucilage	mucilage	n.m.	lat. mucilago, mucilage	
911	mucilage cells	mucilagineuses, cellules	mucilagineuses, cellules	adj.	lat. mucilago, mucilage	
912	mucron	mucron	mucron	n.m.	lat. mucro, pointe	prolongement de la nervure principale
913	mucronate	mucroné	mucrone	adj.	lat. mucro, pointe	se termine brusquement en pointe courte et raide
914	muff	manchon	manchon	n.m.		
915	mull humus	mull	mull	n.m.		mull calcique & mull forestier
916	multi	multi	multi	préfixe	lat. multus, beaucoup, nombreux	
917	multifid	multifide	multifide	adj.	lat. multus, beaucoup, findere, fendre	très divisé en nombreuses languettes étroites
918	multiple	multiple	multiple	adj.		
919	multiseeded	multisperme	multisperme	adj.		qualifie un fruit contenant de nombreuses graines
920	multiseriate	multisérié	multiserie	adj.		
921	muricate	muriqué	murique	adj.		se dit d'une surface munie de pointes courtes et raides
922	mushy	spongieux	spongieux	adj.		
923	mycorrhiza	mycorhize	mycorhize	n.f.	gr. mukês, champignon, rhiza, racine	
924	naked	nu	nu	adj.		
925	necklace	chapelet (articles successifs en ..)	chapelet (articles successifs en ..)	n.m.		
926	nectar	nectar	nectar	n.m.		
927	nectariferous	nectarifère	nectarifere	adj.		
928	nectary	nectaire	nectaire	n.m.	gr. nektar, nectar	
929	needle	aiguille	aiguille	n.f.	lat. acucula, aiguille de sapin	
930	neotropical	néotropical	neotropical	adj.		
931	neotype	néotype	neotype	n.m.		
932	nervation	nervation	nervation	n.f.	lat. nervus, nerf	disposition des nervures au niveau du limbe …
933	nerves	nervures	nervures	n.f.	lat. nervus, nerf	localisation des éléments conducteurs au niveau d'un limbe foliaire
934	nervules	nervilles	nervilles			
935	network	réseau	reseau	n.m.		
936	nigrescent	noircissant	noircissant	v. tr.		
937	nodding	balançant, se	balancant, se	v. tr.		
938	node	nœud	noeud	n.m.	lat. nodus	niveau d'insertion de feuilles ou divergence de rameaux
939	nodule	nodule	nodule	n.m.	lat. nodulus, petit renflement	
940	notch	cran	cran	n.m.		
941	notch	échancrure	echancrure	n.f.		
942	notch	encoche	encoche	n.f.		
943	nucellus	nucelle	nucelle	n.m.	lat. nux, noix	massif cellulaire diploïde
944	nut	noix	noix	n.f.	lat. nux	fruit sec indéhiscent à une graine entourée d'un péricarpe induré et osseux
945	nutation	nutation	nutation	n.f.	lat. nutatio, balancement de la tête	mvt lent de l'apex en cours de croissance
946	nutlets	noisettes	noisettes	n.f.	lat. nux, noix	chez Labiatae
947	nutritive	nutritif	nutritif	adj.		
948	ob	ob	ob	préfixe	lat. ob, en face	opposé
949	obcordate	obcordiforme	obcordiforme	adj.		
950	oblanceolate	oblancéolé	oblanceole	adj.		
951	obligate parasite	obligatoire, parasite	obligatoire, parasite	adj.		incapable de mener une vie indépendante
952	oblong	oblong	oblong	adj.		+ longue que large et 2 extrémités arrondies
953	oblongoid	oblongoïde	oblongoide	adj.		
954	obovate	obovale	obovale	adj.		
955	obscure	indistinct	indistinct	adj.		
956	obtuse	obtus	obtus	adj.		sommet arrondi
957	ochre 	ocre	ocre	adj.		
958	ochrea	ochréa	ochrea	n.f.	lat. ocréa, jambière qui couvre l'avant de la jambe	gaine de la feuille constituée par les stipules soudées…
959	offset	coudé	coude	adj.		short shoot that arises from an axillary bud near the base of the stem and gives rise to a daughter plant at its apex
960	oïde, -oïdal	oïde, -oïdal	oide, -oidal	suffixe	gr. eidês, semblable	
961	oily	huileux	huileux	adj.		
962	open	ouvert	ouvert	adj.		
963	open-branched 	ouvert, rameux-	ouvert, rameux-	adj.		
964	operculum	opercule	opercule	n.m.	lat. operculum, couvercle	
965	opposite	opposé	oppose	adj.	lat. oppositus	s'insèrent par 2 à un même niveau, en se faisant face
966	orangey	orangé	orange	adj.		
967	orbicular	orbiculaire	orbiculaire	adj.	lat. orbicularis, en forme de cercle	almost circular & flattened
968	ornamentation	ornementation	ornementation	n.f.		
969	orthotropus	orthotrope	orthotrope	adj.	gr. orthos, droit, tropos, tour	Err:509
970	outline	profil	profil	n.m.		
971	outline	silhouette	silhouette	n.f.		
972	outward	extérieur, vers l'	exterieur, vers l'	n.m.		
973	ovary	ovaire	ovaire	n.m.	lat. ovarium de ovum, œuf	
974	ovary wall	surface carpellaire ?	surface carpellaire ?	n.f.		
975	ovate	ovale	ovale	adj.		forme d'oeuf
976	overlapping to	recouvrant vers, se	recouvrant vers, se	v. tr.		
977	ovoid	ovoïde, ovoïdal	ovoide, ovoidal	adj.		forme d'un oeuf, rappelant la ..
978	ovule	ovule	ovule	n.m.	lat. ovum, œuf 	
979	paired	apparié	apparie	adj.		
980	paleaceous 	paléacé	paleace	adj.	lat. palea, paille	bractées membraneuses & translucides
981	paleotropical	paléotropical	paleotropical	adj.		
982	palmate	digité	digite	adj.	lat. digitus, doigt	
983	palmate	palmé	palme	adj. & préfixe	lat. palma, paume de la main, palme	
984	palmately compound	composé palmé	compose palme	adj.	lat. palma, paume de la main, palme	feuille dont les folioles sont insérées au même point à l'apex du pétiole
985	palmatifid	palmatifide	palmatifide	adj.	lat. palma, paume de la main, palme	
986	palmatilobed	palmatilobé	palmatilobe	adj.	lat. palma, paume de la main, palme	
987	palmatinerved	palmatinerve (é)	palmatinerve (e)	adj.	lat. palma, palme, nervus, nerf	
988	palmatipartite	palmatipartite	palmatipartite	adj.	lat. palma, paume de la main, palme	
989	palmatisect	palmatiséqué	palmatiseque	adj.	lat. palma, paume de la main, palme & secare, couper	
990	panicle	panicule	panicule	n.f.	lat. panicula	inflorescence indéfinie et dérivée de l'épi (fleurs pédonculées)
991	paniculate	paniculiforme	paniculiforme	adj.	lat. panicula	
992	pantropical	pantropical	pantropical	adj.		
993	papery	papyracé	papyrace	adj.		ayant la consistance du papier
994	papery endocarp	papier, .. comme du	papier, .. comme du	n.m.		
995	papilla	papilles	papilles	n.f.	lat. papilla	
996	papilose	papilleux	papilleux	adj.	lat. papilla	couvert de papilles
997	pappus	pappus	pappus	n.m.	mot latin	aigrette qui surmonte les fruits de diverses Astéraceae
998	para-	para-	para-	préfixe	gr. para, à côté de	
999	parallel venation	nervation parallèle	nervation parallele	n.f.		
1000	parallelodromous					form of leaf venation
1001	parasite	parasite	parasite	n.m.		
1002	parasol	parasol, forme en	parasol, forme en	n.m.		
1003	paratype	paratype	paratype	n.m.		
1004	parenchyma	parenchyme	parenchyme	n.m.	gr. para, à coté de, egkhuma, effusion	
1005	parietal	pariétale	parietale	adj.	lat. parietis, paroi	type de placentation
1006	paripinnate	paripenné	paripenne	adj.	lat. par, paire, penna, plume	composée pennée sans foliole terminale
1007	parted	partite	partite	suffixe	lat. partitus, partager	
1008	partition	cloison	cloison	n.f.		
1009	partition	partition	partition	n.f.		
1010	partitioned	cloisonné	cloisonne	adj.		
1011	patch	point	point	n.m.		
1012	patch	ponctué	ponctue	adj.		
1013	path it takes	trajet	trajet	n.m.	lat. trajectus	
1014	pea-like	papilionacé	papilionace	adj.		
1015	pear-shaped	gourde, en	gourde, en	n.f.		
1016	pear-shaped	piriforme	piriforme	adj.	lat. pirum, poire	
1017	pedate	pédalé?	pedale?	adj.		segments d'1 feuille s'articulant les uns sur les autres
1018	pedicel	pédicelle	pedicelle	n.m.	lat. pedicellus, petit pied	
1019	pedicellate	pédicellé	pedicelle	adj.		
1020	peduncle	pédoncule	pedoncule	n.m.	lat. pedonculus, diminutif de pied	axe portant la fleur, le fruit, né à l'aisselle d'une bractée (simple, fourchu)
1021	pellucid	pellucide, ponctuation	pellucide, ponctuation	adj.	lat. pellucidus, de lucidus, clair	transparent
1022	peltate	pelté	pelte	adj.	gr. peltê, petit bouclier	feuille orbiculaire dont le pétiole s'unit au centre du limbe
1023	pendulous	pendant	pendant	adj.		#NAME?
1024	penetrate	insinuer, s'	insinuer, s'	v. tr.		
1025	penninerved	penninerve, penninervé	penninerve, penninerve	adj.	lat. penna, plume, nervus, nerf	
1026	penta	penta	penta	préfixe		
1027	pentadynamous	pentadyname	pentadyname	adj.		d'un androcée à 10 étamines dt 5 longues et 5 courtes
1028	pentagonal	pentagonal	pentagonal	adj.		
1029	pentamerous	pentamère, 5-mère	pentamere, 5-mere			
1030	percurrent	percurrente	percurrente	adj.	lat. percurrens ?	nervures tertiaires connectées perpendiculairement aux nervures secondaires.
1031	perennial	pérennant	perennant	adj.	lat. perennis, continuel	dure plusieurs années
1032	perennial	pérenne	perenne	adj.		
1033	perfoliate	perfolié	perfolie	adj.	lat. per, à travers, folia, feuille	feuille dt la base du limbe se prolonge de telle façon que celui ci enserre totalement la tige 'amplexicaule)
1034	perianth	périanthe, périanthique	perianthe, perianthique	n.m.	gr. peri, autour, anthos, fleur	
1035	pericarp	péricarpe	pericarpe	n.m.	gr. peri, autour, karpos, fruit	Paroi de l'ovaire dans le fruit; ext. vers intérieur: endocarpe, mésocarpe, exocarpe.
1036	periclinal					parallel to the surface
1037	periderm	liège = suber	liege = suber	n.m.	lat. levius, matériau léger	
1038	perigon	périgone	perigone	n.m.		enveloppe florale constituée par des pièces toutes semblables, sans distinction entre sépales et pétales
1039	perigynous	périgyne	perigyne	adj.	gr. peri, autour, gunê, femme	pièces florales semblant s'insérer autour de l'ovaire
1040	periphery	pourtour	pourtour	n.m.		
1041	perisperm	périsperme	perisperme	n.m.		tissu diploïde du nucelle de l'ex-ovule
1042	persistent	persistant	persistant	adj.		pièce ou ensemble qui demeure en place …
1043	petal	pétale	petale	n.m.	gr. petalon	pièce de la corolle
1044	petal, lower	pétale inférieur (antérieur)	petale inferieur (anterieur)			
1045	petal, upper	pétale supérieur (postérieur)	petale superieur (posterieur)			
1046	petalody	pétalodie	petalodie	n.f.	gr. petalon, pétale	rétrogradat° des étamines et/ou carpelles à l'état de lames colorées (mimant  pétales)
1047	petaloid	pétaloïde	petaloide	adj.	gr. petalon, pétale, eidês, semblable	mime un pétale
1048	petiolate	pétiolé	petiole	adj.	lat. petiolus, petit pied	
1049	petiole	pétiole	petiole	n.m.	lat. petiolus, petit pied	partie basale, étroite, et svt subcylindrique de certaines feuilles (feuilles pétiolées); intermédiaire entre limbe et tige
1050	petiolulate	pétiolulé	petiolule	adj.	lat. petiolus, petit pied	chacun des pts pétioles qui supportent les folioles de certaines feuilles composées
1051	petiolule	pétiolule	petiolule	n.m.	lat. petiolus, petit pied	
1052	Phanerogam	Phanérogames	Phanerogames	n.f.pl.	gr. phaneros, apparent, gamos, mariage	
1053	phanerophyte	phanérophyte	phanerophyte	n.m.	gr. phaneros, apparent, phuton, plante	plante aux pousses ou bourgeons persistants sur des axes aériens 
1054	phi, philo	phi, philo	phi, philo	préf&suffixe	gr. philos, ami	
1055	phloem	phloème	phloeme	n.m.		liber
1056	photosynthesis	photosynthèse	photosynthese	n.f.	gr. photos, lumière, synthesis, synthèse	
1057	photosynthetic	photosynthétique	photosynthetique	adj.	gr. photos, lumière, synthesis, synthèse	
1058	phyllode	phyllode	phyllode	n.m.	gr. phullon, feuille, eidos, ressemblant	pétiole aplati, élargi, mimant un limbe foliaire
1059	phyllody	phyllodie	phyllodie	n.f.	gr. phullon, feuille, eidos, ressemblant	anomalie ds le dvlpmt de divers organes végétatifs ou repro .. Aspect de feuille
1060	phylum	phylum	phylum	n.m.	gr. phylum, lignée	
1061	phyte, phyto	phyte, phyto	phyte, phyto		gr. phuton, plante	
1062	pilose	pileux	pileux	adj.		having soft long hairs
1063	pin (heterostyly)					
1064	pinkish	rosé	rose	adj.		
1065	pinnae, pinna	penne	penne	n.f. & préfixe	lat. penna, plume	
1066	pinnate	penné	penne	adj.	lat. penna, plume	folioles disposés de chaque cotés de l'axe
1067	pinnatifid	pennatifide	pennatifide	adj.	lat. penna, plume	
1068	pinnatilobed	pennatilobé	pennatilobe	adj.		
1069	pinnatipartite	pennatipartite	pennatipartite	adj.		
1070	pinnatisect	pennatiséqué	pennatiseque	adj.	lat. penna, plume, secare, couper	
1071	pinnule	pinnule	pinnule	n.f.	lat. pinnula, petite aile	ramificat° de second ordre d'1 fronde de fougère
1072	pistil	pistil	pistil	n.m.	lat. pistillus, pilon	gynécée
1073	pistillate	pistillé	pistille	adj.	lat. pistillus, pilon	possessing female parts but no male parts
1074	pistillode	pistillode	pistillode	n.m.	lat. pistillus, pilon, eidos, ressemblant	
1075	pit	trou	trou	n.m.	lat. traucum	
1076	pith	moelle	moelle	n.f.	lat. medulla	tissu parenchymateux, mou … qui remplit le cœur de certains axes
1077	pit-like	cratériforme	crateriforme	adj.		
1078	pitted	criblé	crible	adj.		
1079	placenta(e)	placenta(s)	placenta(s)	n.f.	lat. placenta, gâteau	zone de la paroi carpellaire
1080	placental, masse	placentaire, masse	placentaire, masse	adj.		
1081	placentation	placentation	placentation	n.f.	lat. placenta, gâteau	mode d'insertion des ovules ds l'ovaire
1082	plank buttresses	contreforts	contreforts	n.m.pl.	lat. contra, proximité & fortis, fort	
1083	plasmogamy	plasmogamie (cytogamie)	plasmogamie (cytogamie)	n.f.	gr. allos, autre & gamos, mariage	
1084	plastic	plastique	plastique	adj.	lat. plasticus, plastique	aptitudes à coloniser des habitats variés
1085	platanoid bark	platanoïde, écorce	platanoide, ecorce	adj.	lat. platanus, platane	
1086	plentiful	abondant	abondant	adj.		
1087	plume of hairs	plume de poils	plume de poils	n.f.	lat. pluma, duvet	
1088	plumose	plumeux	plumeux	adj.	lat. pluma, duvet	
1089	plumule	gemmule	gemmule	n.f.	lat. gemma, bourgeon	#NAME?
1090	plumule	plumule	plumule	n.f.	lat. pluma, duvet	gemmule
1091	pluri-	pluri-	pluri-	préfixe	lat. plures, plusieurs	
1092	plurilocular	pluriloculaire	pluriloculaire	adj.	lat. plures, plusieurs, loculus, loge	
1093	pneumatophore	pneumatophore	pneumatophore	n.m.	gr. pneu, souffle, phoros, qui porte	
1094	pod	gousse	gousse	n.f.		
1095	pointed	pointu	pointu	adj.		
1096	polar nucleal	noyau polaire	noyau polaire	n.m.		
1097	pollarding	taille en têtards?	taille en tetards?	n.f.		
1098	pollen	pollen	pollen	n.m.	lat. pollen, fleur de farine	
1099	pollen chambre	pollinique, chambre	pollinique, chambre	adj.		
1100	pollen grains	pollen, grain de	pollen, grain de	n.m.	lat. pollen, fleur de farine	
1101	pollen particle	pollen, grain de	pollen, grain de	n.m.	lat. pollen, fleur de farine	
1102	pollen sac	pollinique, sac	pollinique, sac	adj.		
1103	pollen tube	pollinique, tube	pollinique, tube	adj.		
1104	pollinarium (pl. pollinaria)	pollinarium (pl. pollinaria)	pollinarium (pl. pollinaria)			chez Orchidaceae, plusieurs pollinies
1105	pollinated	pollinisé	pollinise	v. tr.		
1106	pollination	pollinisation	pollinisation	n.f.		
1107	pollinium	pollinie	pollinie	n.f.		chez Orchidaceae, contenu aggloméré d'un sac pollinique
1108	poly-	poly-	poly-	préfixe	gr. polus, nombreux	
1109	polyadelphous	polyadelphe	polyadelphe	adj.	gr. polys, nombreux & adelphes, frère	stamens filaments fused into many groups
1110	polyandrous	polyandre	polyandre	adj.	gr. polys, nombreux & andros, mâle	separate stamens freely inserted on the receptacle
1111	polygamo-dioecious	polygamo-dioïque	polygamo-dioique	adj.		S'applique à une espèce qui est probablement dioïque dans ses fonctions mais qui porte aussi des fleurs hermaphrodites.
1112	polygamo-monoecious	polygamo-monoïque	polygamo-monoique	adj.		S'applique à une espèce qui est probablement monoïque dans ses fonctions mais qui porte aussi des fleurs hermaphrodites.
1113	polygamous	polygame	polygame	adj.	gr. polys, nombreux, gamos, mariage	
1114	polygonal	polygonale	polygonale	adj.		
1115	polymorphism	polymorphisme	polymorphisme	n.m.		
1116	polypetalous	polypétale	polypetale	adj.		dialypétale
1117	polysepalous	polysépale	polysepale	adj.		dialysépale
1118	pome	pomacé, fruit	pomace, fruit	adj.		
1119	porate	pores, à	pores, a	n.m.	lat. porus, pore	apertures are pores
1120	pore	pore	pore	n.m.	lat. porus, pore	
1121	poricidal	poricide	poricide	adj.	lat. porus, pore	caractère d'1 déhiscence qui se traduit par l'apparit° de pts trous (pores) au sommet des fruits ou sommet des loges d'1 anthère
1122	poricidally dehiscent	poricide, à déhiscence	poricide, a dehiscence	adj.	lat. porus, pore	par des pores situés au sommet ou à la base
1123	position	disposition	disposition	n.f.		
1124	pouch-like	bourse, ressemblant à 1	bourse, ressemblant a 1	n.f.	lat. bursa	
1125	powder-puff' 	houppe	houppe	n.f.		
1126	powder-puff' 	houppette	houppette	n.f.		
1127	prefloration (aestivation)	préfloraison	prefloraison	n.f.		
1128	prickle	aiguillon	aiguillon	n.m.	lat. aculeonem	
1129	prickle	épine	epine	n.f.	lat. spica, épi, épine	
1130	prickly	épineux	epineux	adj.		
1131	prismatic glands	prismatiques, glandes	prismatiques, glandes	adj.		
1132	procambium	procambium	procambium	n.m.		
1133	procumbent	procombrant	procombrant	adj.		trail loosely along the ground
1134	produced	apparaissant	apparaissant	v. tr.		
1135	prominent	proéminent	proeminent	adj.		
1136	prophyll	prophylle	prophylle	n.m.	gr. pro, premier, phullon, feuille	grande bractée des Arecaceae
1137	protandrous	protandre, protérandre	protandre, proterandre	adj.	gr. proteros, le premier, andros, mâle	
1138	protandry	protandrie	protandrie	n.f.	gr. proteros, le premier, andros, mâle	
1139	prothallus	prothalle	prothalle	n.m.	gr. pro, en avant, thallos, rameau	
1140	protogynous	protogyne, protérogyne	protogyne, proterogyne	adj.	gr. proteros, le premier, gunê, femelle	
1141	protogyny	protogynie (protérogynie)	protogynie (proterogynie)	n.f.	gr. proteros, le premier, gunê, femelle	
1142	protruding	saillie, faire	saillie, faire	n.f.		
1143	protruding 	saillant	saillant	adj.		
1144	protuberance	protubérance	protuberance	n.f.		
1145	pruinose	pruine	pruine	n.f.	lat. pruina, gelée blanche	fine pellicule cireuse à la surface de fruits, feuilles …
1146	pruinose	pruineux	pruineux	adj.		having a whitish bloom
1147	pruning	élagage?	elagage?	n.m.		
1148	pseud(o)-	pseud(o)-	pseud(o)-		gr. pseudês, menteur	
1149	pseudanthial cyathium	pseudanthe, cyathium	pseudanthe, cyathium	adj.		Euphorbiaceae
1150	pseudocalyptrate 	pseudocalyptre	pseudocalyptre	n.f.		
1151	pseudocopulation	pseudocopulation	pseudocopulation	n.f.		attempt by a male isnect to mate with a flower
1152	pseudogamy	pseudogamie	pseudogamie	n.f.		
1153	pseudoperianth	pseudopérianthe	pseudoperianthe	n.m.		
1154	pseudoracemes	pseudoracèmes	pseudoracemes	n.m.		
1155	pseudostipular	pseudo-stipulaire	pseudo-stipulaire	adj.		
1156	pseudowhorl	pseudoverticille	pseudoverticille	n.m.		
1157	pubescence	pubescence	pubescence	n.f.	lat. pubescere, se couvrir de poils	
1158	pubescent	pubescent	pubescent	adj.	lat. pubescere, se couvrir de poils	possède des poils, duveteux
1159	pulp	pulpe	pulpe	n.f.	lat. pulpa, pulpe	partie du péricarpe des fruits charnus
1160	pulvinate	pulviniforme, en forme de renflement	pulviniforme, en forme de renflement	adj.	lat. pulvinus	
1161	pulviniform	pulviniforme, en forme de renflement	pulviniforme, en forme de renflement	adj.	lat. pulvinus	cushion-shaped
1162	pulvinus	coussinet, renflement	coussinet, renflement	n.m.	lat. coxinum, coussin de branche	prominent swelling at the base of a petiole or pinna
1163	pulvinus	pulvinus	pulvinus	n.m.	mot latin	
1164	punctate	ponctuation	ponctuation	n.f.		
1165	punctate	ponctué	ponctue	adj.	lat. punctum, point	
1166	punctiform	punctiforme	punctiforme	adj.	lat. punctum, point	
1167	pungent	caustique	caustique	adj.	lat. causticus, brûlant	
1168	purple	pourpre	pourpre	adj.		
1169	purplish	violacé	violace	adj.		les 5 pétales s'affrontant bord à bord sans recouvrement
1170	purplish-blue	violacé	violace	adj.		
1171	pustular	pustuleux	pustuleux	adj.	lat. pustula	
1172	pustule	pustule	pustule	n.f.	lat. pustula	
1173	pyramid, of a	pyramidal	pyramidal	adj.		
1174	pyrene	pyrène	pyrene	n.m.	gr. purên, noyau	
1175	pyriforme	piriforme (en gourde)	piriforme (en gourde)	adj.	lat. pirum, poire	
1176	pyxis	pyxide	pyxide	n.f.	gr. pyxis, coffret, capsule	fruit sec déhiscent, sphérique, qui s'ouvre par  fissure sensiblement équatoriale, ..
1177	quadripinnate	quadripenné	quadripenne	adj.		
1178	raceme	grappe	grappe	n.f.		
1179	raceme	racème	raceme	n.m. & adj.	lat. racemus, grappe	
1180	racemose	indéfinie, inflorescence	indefinie, inflorescence	adj.		
1181	racemose	racémeux	racemeux	adj.	lat. racemus, grappe	en forme de grappe/racème
1182	racemose	racémiforme	racemiforme	adj.		
1183	racemule	racémule	racemule	n.f.	lat. racemus, grappe	
1184	rachilla (e)	axes floraux	axes floraux	n.m.		the branch that bears the flowers
1185	rachilla (e)	rachéole	racheole			axe très court de l'épillet d'une Poaceae
1186	rachis	rachis	rachis	n.m.	gr. rhakhis, épine dorsale	axe de l'inflorescence ou d'une feuille composée
1187	radial	radial	radial	adj.		dispotition de ts les organes homologues par rapport à l'axe de l'organe (axe de symétrie)
1188	radical					leaves arising close together at the base of the stem
1189	radicle	radicelle	radicelle	n.f.	lat. radicula	ramification de la racine
1190	rain shadow	versant sec	versant sec	n.m.		
1191	raised	relief, en	relief, en	n.m.		
1192	raised	saillant	saillant	adj.		
1193	ramiflorous	ramiflore	ramiflore	adj.	lat. ramus, rameau, Flora, déesse des fleurs	fleurs s/branches ou gros rameaux
1194	ramiflory	ramiflorie	ramiflorie	n.f.		fleurs sur des rameaux défeuillés
1195	raphe	raphé	raphe	n.m.	gr. raphê, suture	partie du funicule adnée au corps de l'ovule…
1196	ray (of wood)	cerne	cerne	n.m.	lat. circinus, cercle	couche annuelle d'accroissement
1197	ray flower	ligulée, fleur	ligulee, fleur	adj.	lat. ligula, languette	
1198	rear	arrière	arriere	n.m.		
1199	receptacle	réceptacle, réceptaculaire	receptacle, receptaculaire	n.m.	lat. receptare, recevoir	
1200	receptacle	réceptaculaire	receptaculaire	adj.		
1201	recessed	renfoncé	renfonce	v. tr.		
1202	rectilinear	rectiligne	rectiligne	adj.		
1203	recurved	récurvé	recurve	adj.		
1204	recurving	récurvé	recurve	adj.		
1205	reddish, dry	érubescent	erubescent	adj.	lat. erubescens, rougissant	qui devient rouge
1206	reddish-brown	brun	brun	adj.		
1207	reduced	réduit	reduit	adj.		
1208	reflexed	réfléchi	reflechi	adj.	lat. reflectere, fléchir	élément rabattu, recurvé, à l'opposé de son sens d'insertion s/plante
1209	regeneration	régénération	regeneration	n.f.		
1210	regma					type of schizocarpic capsule ..
1211	regular	régulier, ère	regulier, ere	adj.	lat. regularis, de regula, règle	
1212	related, sp.	affines, spp.	affines, spp.	adj.	lat. affinitas, voisinage	
1213	remnants	restes du, de	restes du, de	n.m.pl.		
1214	reniform	réniforme	reniforme	adj.	lat. renis, rein	forme d'un rein
1215	resin	résine	resine	n.f.	lat. resina, résine	
1216	resiniferous	résinifère	resinifere	adj.	lat. resina, résine	
1217	resinous	résineux, se	resineux, se	adj.	lat. resina, résine	
1218	resprouting	repoussant	repoussant	v. tr.		
1219	resupinate	résupiné	resupine	adj.		Renversé ou retourné à 180° vers le bas. Orchidée: pétale dorsal devenu ventral suite à la torsion du pédoncule et/ou ovaire
1220	reticulate	réticulé	reticule	adj.	lat. reticulum, petit filet	Se dit d'une nervation dans laquelle les nervures tertiaires sont densément connectées comme dans un filet.
1221	reticulodromous					net or reticulate leaf venation
1222	retuse	rétus	retus	adj.	lat. retis, neutre	sommet du limbe avec échancrure peu marquée (<émarginé)
1223	revolute	révoluté	revolute	adj.	lat. revolvere, rouler en arrière	marge roulée et renvoyée vers l'extérieur
1224	rhachis (rachis)	rachis	rachis	n.m.		
1225	rhipidium					
1226	rhizoid	rhizoïde	rhizoide	n.m.	gr. rhiza, racine	
1227	rhizomatous	rhizomateux	rhizomateux	adj.	gr. rhiza, racine, homos, semblable	Qui produit des extensions rameuses, horizontales et sous-terraines (rhizomes) desquelles des racines et des rameaux verticaux peuvent émerger.
1228	rhizome	rhizome	rhizome	n.m.	gr. rhiza, racine, homos, semblable	
1229	rhombic	rhombique	rhombique	adj.		
1230	rhomboidal	losangique	losangique	adj.		
1231	rhomboidal	rhomboïdal	rhomboidal	adj.	gr. rhombos, objet de forme circulaire, losangée ou tournant	
1232	rhytidome	rhytidome	rhytidome	n.m.	gr. rhutidôma, ride, rugosité	Portion externe et morte de l'écorce qui prend souvent des formes caractéristiques.
1233	ribbed	côtelé	cotele	adj.	lat. costa, côte	
1234	ribboned	rubané	rubane	adj.		qui a la forme d'1 ruban
1235	ridge	arête	arete	n.f.		longue pointe, étroite et raide
1236	ridges, covered with	strié	strie	adj.		
1237	rigid	rigide	rigide	adj.		
1238	rim	rebord	rebord	n.m.		
1239	rim-forming	anneau, en forme d'	anneau, en forme d'	n.m.		
1240	rimming	bordant	bordant	v. tr.		
1241	riparian	riverain	riverain	adj.	lat. riparia, rivière	
1242	rock outcrops	rocheux, affleurements	rocheux, affleurements	adj.		
1243	rock, growing on	saxatile, saxicole	saxatile, saxicole	adj.	lat. saxum, rocher	qui vit parmi les rochers
1244	roll-shaped	bourrelet, en forme de	bourrelet, en forme de	n.m.		
1245	root	racine	racine	n.f.		
1246	rosette	rosette	rosette	n.f.	lat. rosa, rose	
1247	rosette plant	rosette	rosette	n.f.	lat. rosa, rose	Angio. Acaules: disposition des feuilles, ttes insérées en disposition + ou - rayonnante au niveau du collet.
1248	rostellum	rostelle	rostelle	n.m.	lat. rostellum, petit bec	pt appendice en forme de bec situé au-dessus du stigmate (Orchidées)
1249	rostellum	rostellum	rostellum	n.m.	lat. rostellum, petit bec	
1250	rotate	rotacé	rotace	adj.	lat. rota, roue	corolle gamopétale à tube très court dt les pièces sont étalées // rayons d'une roue
1251	rough	rugueux, se	rugueux, se	adj.		
1252	rounded	arrondi	arrondi	adj.		
1253	rudiment	rudiment	rudiment	n.m.	lat. rudimentum, apprentissage, 1er élément	
1254	rudimentary	rudimentaire	rudimentaire	adj.	lat. rudimentum, apprentissage, 1er élément	
1255	rufous	roux	roux	adj.		
1256	ruminate	ruminé	rumine	adj.	lat. ruminare, ruminer	pour l'albumen de certaines graines à l'intérieur duquel les téguments s'insinuent en y dessinant des sinuosités
1257	runner	coulant	coulant	n.m.	lat. colare, filtrer	creeping stem that arises from an axillary bud and runs along the ground, giving rise to plantlets at the nodes or apex
1258	rushlike?	jonciforme	jonciforme	adj.		forme d'une feuille de jonc
1259	rusty	rouille	rouille	adj.		
1260	sac	sac	sac	n.m.		
1261	sagitate	sagitté	sagitte	adj.	lat. sagitta, flèche	en forme de fer de flèche
1262	salt flats	salants	salants	n.m.pl.		
1263	salt-loving	halophile	halophile	adj.	gr. halos, sel, philos, ami	vég. qui supporte ou recherche des teneurs inhabituelles en sel (halophytes=n.f.pl.)
1264	salverform	plateau en forme de , ou plan(e)	plateau en forme de , ou plan(e)	n.m.		
1265	samara	samare	samare	n.f.	lat. samara, graine d'Orme	
